encoding_dim,dropout,batch_size,auc_roc,pr_auc,recall,precision,f1_score,rank
64,0.1,256,0.957,0.5935,0.8169,0.0273,0.0528,1
64,0.1,128,0.9595,0.5664,0.8169,0.0273,0.0528,2
64,0.2,256,0.9618,0.5435,0.831,0.0277,0.0537,3
64,0.2,128,0.9593,0.4997,0.831,0.0277,0.0537,4
64,0.3,256,0.9629,0.4561,0.831,0.0277,0.0537,5
64,0.3,128,0.9634,0.4189,0.8169,0.0273,0.0528,6
64,0.4,256,0.961,0.4044,0.8169,0.0273,0.0528,7
64,0.4,128,0.96,0.4002,0.8169,0.0273,0.0528,8
32,0.1,128,0.9386,0.3869,0.831,0.0277,0.0537,9
32,0.1,256,0.9408,0.3861,0.831,0.0277,0.0537,10
32,0.2,256,0.958,0.3852,0.8169,0.0273,0.0528,11
32,0.3,256,0.9552,0.3761,0.831,0.0277,0.0537,12
32,0.2,128,0.9488,0.3628,0.831,0.0277,0.0537,13
16,0.1,256,0.9552,0.3459,0.831,0.0277,0.0537,14
32,0.3,128,0.9571,0.3343,0.8169,0.0273,0.0528,15
32,0.4,256,0.9649,0.3233,0.8592,0.0287,0.0555,16
16,0.2,256,0.956,0.3057,0.831,0.0277,0.0537,17
32,0.4,128,0.9617,0.3034,0.831,0.0277,0.0537,18
16,0.2,128,0.9561,0.2939,0.831,0.0277,0.0537,19
16,0.1,128,0.9561,0.2819,0.831,0.0277,0.0537,20
16,0.3,256,0.9603,0.2765,0.831,0.0277,0.0537,21
16,0.3,128,0.958,0.2664,0.831,0.0277,0.0537,22
16,0.4,256,0.9588,0.248,0.831,0.0277,0.0537,23
16,0.4,128,0.9601,0.2423,0.831,0.0277,0.0537,24
