number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_learning_rate,params_lstm_units,params_optimizer,state
0,0.0,2025-03-27 04:30:34.642814,2025-03-27 04:31:32.000461,0 days 00:00:57.357647,128,0.30000000000000004,0.001,64,rmsprop,COMPLETE
1,0.0,2025-03-27 04:31:32.001787,2025-03-27 04:32:00.572053,0 days 00:00:28.570266,64,0.2,0.001,32,rmsprop,COMPLETE
2,0.0,2025-03-27 04:32:00.572669,2025-03-27 04:33:22.594861,0 days 00:01:22.022192,32,0.2,0.01,128,adam,COMPLETE
3,0.0,2025-03-27 04:33:22.596252,2025-03-27 04:33:57.202945,0 days 00:00:34.606693,128,0.2,0.001,32,rmsprop,COMPLETE
4,0.0,2025-03-27 04:33:57.203429,2025-03-27 04:35:17.394583,0 days 00:01:20.191154,64,0.4,0.0005,128,adam,COMPLETE
5,0.0,2025-03-27 04:35:17.395800,2025-03-27 04:36:04.555631,0 days 00:00:47.159831,32,0.4,0.0005,64,adam,COMPLETE
6,0.0,2025-03-27 04:36:04.556151,2025-03-27 04:36:53.274595,0 days 00:00:48.718444,32,0.30000000000000004,0.001,64,adam,COMPLETE
7,0.0,2025-03-27 04:36:53.276113,2025-03-27 04:37:39.175155,0 days 00:00:45.899042,64,0.30000000000000004,0.0005,64,rmsprop,COMPLETE
8,0.0,2025-03-27 04:37:39.175650,2025-03-27 04:38:57.966195,0 days 00:01:18.790545,32,0.4,0.0005,128,adam,COMPLETE
9,0.0,2025-03-27 04:38:57.967724,2025-03-27 04:39:54.215582,0 days 00:00:56.247858,128,0.4,0.001,64,rmsprop,COMPLETE
